,Żułowska
900,Kolejowa
901,Koletek
902,Kolista
903,Kolna
904,Kolonijna
905,Komandosów
906,Komasy
907,Komuny Paryskiej
908,Konfederacka
909,Konopna
910,Konrada Srzednickiego
911,Konrada Wallenroda
912,Konstantego Brandla
913,Konstantego Ciołkowskiego
914,Konstantego Ildefonsa Gałczyńskiego
915,Konstantego Jelskiego
916,Konstantego Krumłowskiego
917,Konstantego Laszczki
918,Konwaliowa
919,Konwisarzy
920,Kopalina
921,Kopaniec
922,Koprowa
923,Koralowa
924,Kordiana
925,Korepty
926,Kormoranów
927,Kornela Makuszyńskiego
928,Korony Polskiej
929,Kosów
930,Kosiarzy
931,Kosmonautów
932,Kosocicka
933,Kostrzecka
934,Kosynierów
935,Koszalińska
936,Koszarówka
937,Koszutki
938,Koszykarska
939,Kotówka
940,Kotlarska
941,Kowalska
942,Kozia
943,Koziarówka
944,Kozienicka
945,Króla Jana III Sobieskiego
946,Królówka
947,Królewska
948,Królowej Bony
949,Królowej Jadwigi
950,Królowej Marysieńki
951,Krótka
952,Krańcowa
953,Krajobrazowa
954,Krakusa
955,Krakusów
956,Krasowa
957,Kręta
958,Krawiecka
959,Kremerowska
960,Kresowa
961,Krośnieńska
962,Krochmalniki
963,Krokusowa
964,Kronikarza Galla
965,Krowoderska
966,Krowoderskich Zuchów
967,Krucza
968,Krupnicza
969,Kruszwicka
970,Krymska
971,Kryniczna
972,Krystyna z Ostrowa
973,Kryształowa
974,Krzemieniecka
975,Krzemionki
976,Krzesławicka
977,Krzewowa
978,Krzyżówka
979,Krzyżtoporska
980,Krzysztofa Kamila Baczyńskiego
981,Krzywa
982,Krzywda
983,Krzywy Zaułek
984,Ksawerego Pruszyńskiego
985,Księżnej Przybysławy
986,Księżycowa
987,Księcia Józefa
988,Księdza Augustyna Kordeckiego
989,Księdza Kazimierza Siemaszki
990,Księdza Piotra Skargi
991,Ku Raciborowicom
992,Kuśnierska
993,Kuźnicy Kołłątajowskiej
994,Kuźnicza
995,Kujawska
996,Kukiełek Golkowickich
997,Kukułcza
998,Kupa
999,Kupały
1000,Kurkowa
1001,Kurniki
1002,Kwartowa
1003,Kwatery
1004,Kwiatów Polskich
1005,Kwiatowa
1006,Kwiecista
1007,Kwietna
1008,Lajkonika
1009,Lanckorońska
1010,Lasówka
1011,Lasek
1012,Laskowa
1013,Lasogórska
1014,Lasowisko
1015,Laudańska
1016,Lawendowa
1017,Lazurowa
1018,Leśna
1019,Lecha
1020,Lechicka
1021,Lecznicza
1022,Legendy
1023,Legionów
1024,Legionów Józefa Piłsudskiego
1025,Legnicka
1026,Lekarska
1027,Leona Chwistka
1028,Leona Misiołka
1029,Leona Wyczółkowskiego
1030,Leopolda Flanka
1031,Leopolda Kmietowicza
1032,Leopolda Lisa-Kuli
1033,Leopolda Staffa
1034,Lesista
1035,Leszczynowa
1036,Leszka Białego
1037,Leszka Czarnego
1038,Letnia
1039,Lewkowa
1040,Liściasta
1041,Libertowska
1042,Librowszczyzna
1043,Liliowa
1044,Lilli Wenedy
1045,Lipowa
1046,Lipska
1047,Lirników
1048,Liryczna
1049,Lisia
1050,Litawora
1051,Litewska
1052,Lniana
1053,Longinusa Podbipięty
1054,Loretańska
1055,Lotnicza
1056,Lubelska
1057,Lubicz
1058,Lublańska
1059,Lubocka
1060,Lubostroń
1061,Lubuska
1062,Lucjana Rydla
1063,Lucjana Siemieńskiego
1064,Ludźmierska
1065,Ludmiły Korbutowej
1066,Ludomiła Korczyńskiego
1067,Ludomira Benedyktowicza
1068,Ludomira Różyckiego
1069,Ludowa
1070,Ludwika Bierkowskiego
1071,Ludwika Gardowskiego
1072,Ludwika Hieronima Morstina
1073,Ludwika Idzikowskiego
1074,Ludwika Jędrzejczyka
1075,Ludwika Krzywickiego
1076,Ludwika Mierosławskiego
1077,Ludwika Muzyczki
1078,Ludwika Nabielaka
1079,Ludwika Osieckiego
1080,Ludwika Pasteura
1081,Ludwika Rydygiera
1082,Ludwika Solskiego
1083,Ludwika Zamenhofa
1084,Ludwinowska
1085,Ludwisarzy
1086,Lusińska
1087,Lutego Tura
1088,Lwa Landaua
1089,Lwowska
1090,Młodej Polski
1091,Młodzieży
1092,Młotków
1093,Młyńska
1094,Młyńska Boczna
1095,Młynówka Królewska
1096,Młynowa
1097,Mączna
1098,Mała
1099,Mała Góra
1100,Małego Księcia
1101,Mały Płaszów
1102,Mały Rynek
1103,Maćka z Bogdańca
1104,Maćkowa Góra
1105,Macedońska
1106,Macieja Dębskiego
1107,Macieja Jakubowskiego
1108,Macieja Kalenkiewicza
1109,Macieja Miechowity
1110,Macieja Moraczewskiego
1111,Maciejkowa
1112,Macierzanki
1113,Madejówka
1114,Madera
1115,Magazynowa
1116,Magdaleny Samozwaniec
1117,Magnolii
1118,Mahatmy Gandhiego
1119,Majora Ryszarda Nuszkiewicza
1120,Majowa
1121,Makowa
